id,grandprix_id,season_id,number,date
1,Bahrain,2023,1,2023-03-05
2,Saudi Arabia,2023,2,2023-03-19
3,Melbourne,2023,3,2023-04-02
4,Baku,2023,4,2023-04-30
5,Miami,2023,5,2023-05-07
6,Imola,2023,6,2023-05-21
7,Monaco,2023,7,2023-05-28
8,Barcelona,2023,8,2023-06-04
9,Montreal,2023,9,2023-06-18
10,Spielberg,2023,10,2023-07-02
11,Silverstone,2023,11,2023-07-09
12,Budapest,2023,12,2023-07-23
13,Spa,2023,13,2023-07-30
14,Zandvoort,2023,14,2023-08-27
15,Monza,2023,15,2023-09-03
16,Singapore,2023,16,2023-09-17
17,Suzuka,2023,17,2023-09-24
18,Qatar,2023,18,2023-10-08
19,Austin,2023,19,2023-10-22
20,Mexico,2023,20,2023-10-29
21,Brazil,2023,21,2023-11-05
22,Las Vegas,2023,22,2023-11-18
23,Abu Dhabi,2023,23,2023-11-26